ID,TITLE,LOCATION,SALARY,SUMMARY,LINK
1,Baseball Operations Intern,"Seattle, WA 98101 (Downtown area)",,"Job Title:Baseball Operations Intern Department:Baseball Operations Reports To:Director, Baseball Operations Status:Part-time, Nonexempt Dates: Preference…",https://www.indeed.com/viewjob?jk=202af912ccb39e41
2,"Python Developer

new","Seattle, WA 98119 (Uptown area)","$70,000 - $100,000 a year",We are looking for full-time python developers to join a small and fast-growing team. This position will be focusing on the development of our synthetic data…,https://www.indeed.com/viewjob?jk=84c081fe2b060bfd
3,Python Developer/Programmer,"McLean, VA",,"6+ years of hands on experience with Python is needed Experience in AWS,Snowflakes Should have sound knowledge about all facets of software development life…",https://www.indeed.com/viewjob?jk=ffa9b642e6f96268
4,Baseball Projects Intern,"Seattle, WA 98101 (Downtown area)",,"Job Title:Baseball Projects Intern Department:Baseball Projects Reports To:Asst. Director, Baseball Projects Status:Part-time, Nonexempt Dates: Must be…",https://www.indeed.com/viewjob?jk=bb460b5da38dee04
5,Senior Product Scientist - Social Impact,"Seattle, WA","$178,000 - $225,000 a year","Our mission: As the world’s number 1 job site, our mission is to help people get jobs. We need talented, passionate people working together to make this happen…",https://www.indeed.com/viewjob?jk=5718c30aa84c61fe
6,Junior Quant,"Seattle, WA 98109 (Westlake area)",,"Dexterity Capital is one of the leading high-frequency trading firms in the cryptocurrency space. Our team trades billions of dollars every month, providing…",https://www.indeed.com/viewjob?jk=e1a750ccc83bd177
7,Associate Business Analyst,"Seattle, WA 98121 (Belltown area)",,The Associate Business Analyst will create and maintain key performance reports and business metrics to support strategies that improve effective business…,https://www.indeed.com/viewjob?jk=212e017b2c24f1bb
8,"VR Test Analyst

new","Seattle, WA 98134 (Industrial District area)",From $28.50 an hour,"*Contract: * 6 months with possibility of extension Client Location: Seattle, WA Keywords is hiring multiple QA analysts for a client that manufactures…",https://www.indeed.com/viewjob?jk=14176e01dea09579
9,PYTHON DEVELOPER,"Seattle, WA",,"We are looking for a Python Web Developer responsible for developing, enhancing, modifying, maintaining applications and managing the interchange of data…",https://www.indeed.com/viewjob?jk=1a20a1c56fb7df73
10,"Data Scientist, Ads Measurement

new","Seattle, WA",,"Pinterest’s ad business is critical to its success. Our ads measurement strategy is fundamental to understanding how Pinterest adds value to advertisers, how…",https://www.indeed.com/viewjob?jk=3e88f612b337a8ae
11,"Python Developer

new","Redmond, WA",,"*W2 role only , No C2C.* Any visa is acceptable. * Python- SPARK/ Scala application build within an Enterprise setting. * Experience in one or more languages…",https://www.indeed.com/viewjob?jk=892de91c7230455b
12,"Test Analyst 2 - Connectivity

new","Seattle, WA 98134 (Industrial District area)",$33.50 an hour,"*Duration: * 6 months, extension possible Core Hours: Monday-Friday, 10am-5pm Overtime: Yes, compensated accordingly Client/Work Site: Menlo Park,…",https://www.indeed.com/viewjob?jk=d053bd0805d5e740
13,Automation and Python Training and Job Placement,"Clarksville, TN",,"Ready to take your next step in the IT field? Goodwill Industries of Middle Tennessee, Inc. is offering scholarships for the Google IT Automation with Python…",https://www.indeed.com/viewjob?jk=beb807645d0d866b
14,Jr. Data Analyst,"Redmond, WA",$13 - $19 an hour,Job Description: Looking for a Jr Data Analyst. The company’s ML Group thrives at the intersection of machine learning and biology and healthcare. The…,https://www.indeed.com/viewjob?jk=a4ed66d11fa5b623
15,Entry level Python Developer,"San Francisco, CA (Financial District area)",,"Company Description Our company is a leading IT services, consulting and outsourcing company delivering exceptional business solutions and customer value to…",https://www.indeed.com/viewjob?jk=346b78d48ac037ba
16,"Python - XC Automation Testing

new","Seattle, WA 98101 (Downtown area)",,Python - XC Automation Testing Location and Travel: Seattle - WA *This role is not able to offer visa transfer or sponsorship now or in the future* Job…,https://www.indeed.com/viewjob?jk=0c7e6346eabddbdc
17,SDET – Python,"Seattle, WA",,Required: SDET with mainly UI and some API automation 2+ years of Python experience Experience testing Payroll and SAP. Key experience: • SDET with mainly UI…,https://www.indeed.com/viewjob?jk=a69674cb17e7ad68
18,"Associate, Data Programmer

new","Seattle, WA",,Job description Description About this role Description BlackRock Alternative Advisors (“BAA”) comprises BlackRock’s hedge fund solutions platform. With…,https://www.indeed.com/viewjob?jk=b002187130d1cbe9
19,"Intern – Analytics (NOA)

new","Redmond, WA",,"Nintendo of America Inc. The worldwide pioneer in the creation of interactive entertainment, Nintendo Co., Ltd., of Kyoto, Japan, manufactures and markets…",https://www.indeed.com/viewjob?jk=81e037d7448fd68e
20,Python Developer,"San Francisco, CA",$50 - $55 an hour,"Python Developer W2 short term remote contract role for one of the client in west coast. only GC and Citizens and H4 Skills needed: Python, Django,…",https://www.indeed.com/viewjob?jk=3b2efd5878ac1611
21,"Associate Data Analyst

new","Seattle, WA 98101 (Downtown area)",,"At PitchBook we work to provide global professionals with comprehensive data on the entire venture capital, private equity and M&A landscape so they can…",https://www.indeed.com/viewjob?jk=309db23901c19c97
22,Python Developer,Remote,Up to $100 an hour,"*Company Overview: * Applied Software Technology, Inc., an Autodesk Platinum Partner for over 30 years, is a premier design technology firm serving the AEC,…",https://www.indeed.com/viewjob?jk=7f69ec9fff5b8ee2
23,"Data Analyst

new","Seattle, WA",,"Summary: Evil Geniuses, one of the oldest and most recognizable brands in professional gaming, was founded 20 years ago on the belief that passion, commitment…",https://www.indeed.com/viewjob?jk=4f3ae6781a796713
24,"FullStack - React, Python, Django (Contract, Remote)

new","San Francisco, CA 94147 (Marina area)",$60 - $80 an hour,"JOB TYPE: Freelance, Contract Position - No agencies (See notes below) LOCATION: Remote (TimeZone: Team works in PST, US Based time zone required) HOURLY…",https://www.indeed.com/viewjob?jk=f987659ad094c624
25,Python Developer,"Bellevue, WA",,"Responsibilities Writing reusable, testable, and efficient code Design and implementation of low-latency, high-availability, and performant applications…",https://www.indeed.com/viewjob?jk=70912d7ae92ee088
26,"100% Remote Senior Python Developer

new","Malibu, CA",,Company Description null Job Description - Senior Python Developer - 8+ Years Experience - Very strong experience with data management - Very strong…,https://www.indeed.com/viewjob?jk=eea0b8d770481a56
27,"System Validation Engineer (python, C++, CPU)

new","Menlo Park, CA",,"Job Title: System Validation Engineer Location: Menlo Park, CA Duration: 1 Year Summary: Writing System Level tests targeting the CPU/DSP/CNN cores Writing…",https://www.indeed.com/viewjob?jk=2796b27f07ad64b9
28,Mechanical Engineer,"Seattle, WA 98121 (Belltown area)",,First Mode draws on the exceptional talent and creativity of its multidisciplinary team to solve the toughest problems on and off the planet. We help companies…,https://www.indeed.com/viewjob?jk=d31df5f2f003613b
29,"Product Analyst, Discovery

new","San Francisco, CA 94103 (South of Market area)",,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new…",https://www.indeed.com/viewjob?jk=5391dc6dcdd1c961
30,Jr. Python Developer,"Maryland Heights, MO 63146",$29 - $35 an hour,*Jr Python Developer About OptiFunder * OptiFunder is a leading provider of cloud technology to the residential mortgage finance industry and pioneer of…,https://www.indeed.com/viewjob?jk=61da247cafaa9163
